Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points
ATVI, Activision Blizzard Inc,62.79,-2.3,-3.53,14294838,-1.5
ADBE, Adobe Inc.,249.96,-3.47,-1.37,2374705,-1.5
ALXN, Alexion Pharmaceuticals Inc.,127.18,0,0,883436,0
ALGN, Align Technology Inc.,245.67,0.36,0.15,1428695,0
GOOG, Alphabet Inc.,1082.4,-10.99,-1.01,1461346,-3.3
GOOGL, Alphabet Inc.,1094.63,-13.61,-1.23,1682891,-3.5
AMZN, Amazon.com Inc.,1754.91,-0.58,-0.03,6517411,-0.3
AAL, American Airlines Group Inc.,36.86,-0.11,-0.3,6884018,0
AMGN, Amgen Inc.,196.02,-1.6,-0.81,2381562,-0.9
ADI, Analog Devices Inc.,89.93,1.62,1.83,2549031,0.5
AAPL, Apple Inc.,208.49,-0.73,-0.35,25270166,-3.1
AMAT, Applied Materials Inc.,34.94,-0.31,-0.88,9027434,-0.3
ASML, ASML Holding N.V.,174.99,-2.43,-1.37,1890094,-0.2
ADSK, Autodesk Inc.,140.61,1.69,1.22,1612263,0.3
ADP, Automatic Data Processing Inc.,147.89,-0.41,-0.28,2073391,-0.2
BIDU, Baidu Inc.,188.55,-6.86,-3.51,2464687,-1.7
BIIB, Biogen Inc.,326.04,-5.47,-1.65,1079945,-1
BMRN, BioMarin Pharmaceutical Inc.,98.54,-0.52,-0.52,797748,-0.1
BKNG, Booking Holdings Inc.,1977.61,-20.56,-1.03,413165,-0.9
AVGO, Broadcom Inc.,240.25,5.85,2.5,2961440,2.2
CDNS, Cadence Design Systems Inc.,46.46,0.31,0.67,1546349,0.1
CELG, Celgene Corporation,75.23,-0.23,-0.3,4673290,-0.1
CERN, Cerner Corporation,58.05,-0.49,-0.84,1373790,-0.1
CHTR, Charter Communications Inc.,324.65,-3.71,-1.13,1074692,-0.8
CHKP, Check Point Software Technologies Ltd.,111.61,-1.24,-1.1,949829,-0.2
CTAS, Cintas Corporation,181.16,1.81,1.01,401270,0.2
CSCO, Cisco Systems Inc.,48.44,0.54,1.13,20825710,2.2
CTXS, Citrix Systems Inc.,107.06,1.03,0.97,1065783,0.1
CTSH, Cognizant Technology Solutions Corporation,71.24,-0.13,-0.18,2102240,-0.1
CMCSA, Comcast Corporation,38.3,0,0,14017517,0
COST, Costco Wholesale Corporation,238.7,-1.1,-0.46,2138854,-0.4
CSX, CSX Corporation,71.67,-0.64,-0.89,3894035,-0.5
CTRP, Ctrip.com International Ltd.,27.89,-6.55,-19.02,30182088,-2.7
XRAY, DENTSPLY SIRONA Inc.,36.8,0.29,0.79,3959155,0.1
DLTR, Dollar Tree Inc.,87.85,1.4,1.62,2974478,0.3
EBAY, eBay Inc.,29.84,-0.02,-0.07,10830738,0
EA, Electronic Arts Inc.,93.87,0.07,0.07,5027172,0
EXPE, Expedia Group Inc.,125.43,-2.95,-2.3,1675516,-0.4
ESRX, Express Scripts Holding Company,99.32,-0.16,-0.16,3956626,-0.1
FB, Facebook Inc.,147.87,-3.66,-2.42,24039940,-7.7
FAST, Fastenal Company,55.13,0.44,0.8,2883639,0.1
FISV, Fiserv Inc.,79.8,0.59,0.74,1422032,0.2
GILD, Gilead Sciences Inc.,71.88,-0.6,-0.83,4987352,-0.7
HAS, Hasbro Inc.,98.4,-2,-1.99,1043459,-0.2
HSIC, Henry Schein Inc.,86.97,-0.36,-0.41,1335268,-0.1
HOLX, Hologic Inc.,42.46,1.2,2.91,3806950,0.3
IDXX, IDEXX Laboratories Inc.,209.67,-0.12,-0.06,505648,0
ILMN, Illumina Inc.,339.55,-3.13,-0.91,1390857,-0.4
INCY, Incyte Corporation,68.67,-0.36,-0.52,1135190,-0.1
INTC, Intel Corporation,48.99,0.27,0.55,26569968,1.1
INTU, Intuit Inc.,223.24,1.36,0.61,888527,0.3
ISRG, Intuitive Surgical Inc.,540.02,-5.66,-1.04,533667,-0.6
